Timeline.ordinal,subid,type,trial,target,person,utterance,selection
0,7,practice,1,apple,parent,pick the apple,
1,7,practice,1,apple,child,,child
10,7,practice,4,apple,child,this one is a apple,
11,7,practice,4,apple,parent,,parent
12,7,practice,4,apple,parent,"oh, that's a good one",
2,7,practice,2,artichoke,parent,Can I ask some questions to help?,
3,7,practice,2,artichoke,parent,is it one that has a triangle on its head or the onions,
4,7,practice,2,artichoke,child,it's the triangle one not the onions,
5,7,practice,2,artichoke,parent,is it the artichoke?,
6,7,practice,2,artichoke,child,yes yes,
7,7,practice,2,artichoke,parent,,parent
13,7,practice,5,artichoke,parent,this one is the artichoke with its diamond shapes,
14,7,practice,5,artichoke,child,,child
8,7,practice,3,onion,parent,this time it's the onion. it's the big round one.,
9,7,practice,3,onion,child,,child
15,7,practice,6,onion,child,this one is an onion,
16,7,practice,6,onion,parent,,parent
43,7,test,8,A1,child,this one is the one that's running,
44,7,test,8,A1,child,,child
52,7,test,12,A1,parent,this one is when he is running and he's only using one foot right now,
53,7,test,12,A1,child,,child
77,7,test,24,A1,child,this one's when he's running,
78,7,test,24,A1,parent,,parent
106,7,test,38,A1,parent,this one is when he's running but only got one foot on the ground,
107,7,test,38,A1,child,,child
31,7,test,4,B1,child,this one is walking,
32,7,test,4,B1,parent,Is he looking at the ground kinda?,
33,7,test,4,B1,child,yeah,
34,7,test,4,B1,parent,,parent
61,7,test,16,B1,parent,This one's when he's walking and looking at the ground,
62,7,test,16,B1,child,,child
89,7,test,30,B1,child,this one's when he's walking and looking down,
90,7,test,30,B1,parent,,parent
110,7,test,40,B1,parent,this one is walking looking down,
111,7,test,40,B1,child,,child
23,7,test,2,C1,child,this one is a person is lying down,
24,7,test,2,C1,parent,lying down? on his knees?,
25,7,test,2,C1,child,uh-huh,
26,7,test,2,C1,parent,with his elbows on the ground?,
27,7,test,2,C1,child,yeah,
28,7,test,2,C1,parent,,parent
65,7,test,18,C1,parent,this one's when he's on his elbows and knees on the floor,
66,7,test,18,C1,child,,child
85,7,test,28,C1,child,this is when he's on his knees and hamds,
86,7,test,28,C1,parent,,parent
93,7,test,32,C1,parent,this one's when he's on his elbows and knees,
94,7,test,32,C1,child,,child
35,7,test,5,D1,parent,"this one is when it's laying on its belly, like reading on the floor, kicking his knees up",
36,7,test,5,D1,child,,child
63,7,test,17,D1,child,this one is when he's reading a book laying down,
64,7,test,17,D1,parent,,parent
71,7,test,21,D1,parent,this one is when he's laying on the floor reading a book,
72,7,test,21,D1,child,,child
91,7,test,31,D1,child,this one he is laying down reading a book,
92,7,test,31,D1,parent,,parent
47,7,test,10,E1,child,this one is doing jumping,
48,7,test,10,E1,parent,,parent
69,7,test,20,E1,parent,this one is when he's jumping for joy,
70,7,test,20,E1,child,,child
81,7,test,26,E1,child,this one's when he's jumping,
82,7,test,26,E1,parent,,parent
102,7,test,36,E1,parent,this one is jumping for joy,
103,7,test,36,E1,child,,child
45,7,test,9,F1,parent,this one looks like he's been doing dabs,
46,7,test,9,F1,child,,child
58,7,test,15,F1,child,this one is the one when he is dabbings,
59,7,test,15,F1,parent,dabbing,
60,7,test,15,F1,parent,,parent
75,7,test,23,F1,parent,this one's when he's dabbing,
76,7,test,23,F1,child,,child
99,7,test,35,F1,child,this one is when he's doing that,
100,7,test,35,F1,parent,dabbing?,
101,7,test,35,F1,parent,,parent
41,7,test,7,G1,parent,So this one is sitting in chair,
42,7,test,7,G1,child,,child
49,7,test,11,G1,child,this one is sitting,
50,7,test,11,G1,parent,sitting in a chair?,
51,7,test,11,G1,parent,,parent
87,7,test,29,G1,parent,this one is when he's sitting in that chair,
88,7,test,29,G1,child,,child
104,7,test,37,G1,child,this one is when he's sitting down on a chair,
105,7,test,37,G1,parent,,parent
29,7,test,3,H1,parent,this one's when it's standing up in a row and it's holding a plate again,
30,7,test,3,H1,child,,child
54,7,test,13,H1,child,this one is the ... holding something with his zzz,
55,7,test,13,H1,parent,,parent
79,7,test,25,H1,parent,this one's when he's in the robe and he's holding a bowl,
80,7,test,25,H1,child,,child
95,7,test,33,H1,child,that one is when he has zzz and he's holding a bowl,
96,7,test,33,H1,parent,,parent
20,7,test,1,I1,parent,this one looks like a person holding a tray of food,
21,7,test,1,I1,child,,child
67,7,test,19,I1,child,this one is when he's holding a book,
68,7,test,19,I1,parent,,parent
83,7,test,27,I1,parent,"this one's when he's leaned over a little bit, holding that bowl",
84,7,test,27,I1,parent,,parent
108,7,test,39,I1,child,this one is when he has a zzz,
109,7,test,39,I1,parent,,parent
37,7,test,6,K1,child,this one is... leaning over. he's bowing.,
38,7,test,6,K1,parent,is there a triangle on his tush?,
39,7,test,6,K1,child,yeah,
40,7,test,6,K1,parent,,parent
56,7,test,14,K1,parent,this one is when he's bending over a little bit and looking up at the sky,
57,7,test,14,K1,child,,child
73,7,test,22,K1,child,this one is when he leaning down and looks like he's gonna slide,
74,7,test,22,K1,parent,,parent
97,7,test,34,K1,parent,this one's when he's got that triangle on his tush and he's leaned over a bit,
98,7,test,34,K1,child,,child
17,7,test,,,parent,So this one,
18,7,test,,,child,why aren't these zzz,
19,7,test,,,parent,like the little shapes,
22,7,test,,,child,it's so colorful!,
