Timeline.ordinal,subid,type,trial,target,person,utterance,selection
0,13,practice,1,apple,parent,"apple. with the leaf on the stem. do you have that on your screen? ok, I think you're supposed to press it. Did you press it?",
3,13,practice,1,apple,child,,child
14,13,practice,4,apple,child,I think that this is a... I see something that looks like a heart and it has a leaf and a stem. Do you have that?,
16,13,practice,4,apple,parent,,parent
5,13,practice,2,artichoke,parent,"ok, let's wait a minute. do you have a blue box on your screen?",
6,13,practice,2,artichoke,child,"in my blue box, I have a... I think I have lettuce. It has a stem and leaves. Do you have that?",
8,13,practice,2,artichoke,parent,,parent
17,13,practice,5,artichoke,parent,"on my screen, I have a blue box that you would think is lettuce.",
18,13,practice,5,artichoke,child,,child
19,13,practice,5,artichoke,child,is that lettuce or not?,
9,13,practice,3,onion,parent,"on my screen, I have a blue box with the thing that's circular and it doesn't have leaves on it. it's a circle, it's a vegetable.",
10,13,practice,3,onion,child,it's an onion!,
12,13,practice,3,onion,child,,child
20,13,practice,6,onion,child,"in my blue box, I have something that's circular and doesn't have any leaves.",
21,13,practice,6,onion,parent,,parent
33,13,test,6,A1,child,"in my blue box, it looks like a person is running away",
34,13,test,6,A1,parent,,parent
70,13,test,20,A1,parent,"in my blue box, it's the person running",
71,13,test,20,A1,child,,child
78,13,test,24,A1,child,in my blue box is somebody running,
79,13,test,24,A1,parent,,parent
96,13,test,32,A1,parent,in my blue box it's someone running,
97,13,test,32,A1,child,,child
27,13,test,3,B1,parent,in my blue box it looks like a person who's walking with their head down,
28,13,test,3,B1,child,,child
64,13,test,17,B1,child,in mine it looks like there's a person who has his head down and is leaning over while walking,
65,13,test,17,B1,parent,,parent
80,13,test,25,B1,parent,in my blue box is somebody walking with their head down,
81,13,test,25,B1,child,,child
112,13,test,39,B1,child,somebody walking away with their head down,
113,13,test,39,B1,parent,,parent
29,13,test,4,C1,child,in my blue box it looks like they're doing this on the floor,
30,13,test,4,C1,parent,,parent
66,13,test,18,C1,parent,"in my blue box, it's a person who is bending over on the ground",
67,13,test,18,C1,child,,child
74,13,test,22,C1,child,ducking on the floor,
75,13,test,22,C1,parent,,parent
106,13,test,36,C1,parent,in my blue box it's someone bent over on the ground,
107,13,test,36,C1,child,,child
25,13,test,2,D1,child,in my blue box it has like a person that has a head and he's like on the ground with his hands out,
26,13,test,2,D1,parent,,parent
50,13,test,14,D1,parent,in my blue box it looks like a person who's laying down,
51,13,test,14,D1,child,,child
90,13,test,30,D1,child,in my blue box is someone laying down,
91,13,test,30,D1,parent,,parent
110,13,test,38,D1,parent,in my blue box is someone laying down. it looks like they're laying back and reading something,
111,13,test,38,D1,child,,child
39,13,test,9,E1,parent,"in my blue box, it looks like it's a person jumping up",
40,13,test,9,E1,child,,child
44,13,test,11,E1,child,in my blue box is a person who is jumping up,
45,13,test,11,E1,parent,,parent
88,13,test,29,E1,parent,in my blue box is a person jumping,
89,13,test,29,E1,child,,child
92,13,test,31,E1,child,in my blue box it looks like someone jumping up in the air,
94,13,test,31,E1,child,in my blue box it looks like someone pointing up to the air and jumping,
95,13,test,31,E1,parent,,parent
41,13,test,10,F1,child,"in my blue box, it looks like someone who's running like a bird",
42,13,test,10,F1,parent,,parent
60,13,test,16,F1,parent,"in my blue box, it looks like a person is pointing up to the sky. they may be walking or running, but they are pointing up.",
61,13,test,16,F1,child,is it on your right or left.,
62,13,test,16,F1,parent,it doesn't matter. it could be different for each of us. listen to my words i'm saying and see if you see what i see,
63,13,test,16,F1,child,,child
82,13,test,26,F1,child,in my blue box is someone whos throwing up his hands in the air,
83,13,test,26,F1,parent,,parent
100,13,test,34,F1,parent,in my blue box it's someone running,
101,13,test,34,F1,child,,child
31,13,test,5,G1,parent,in my blue box it looks like a person is sitting down,
32,13,test,5,G1,child,,child
48,13,test,13,G1,child,"in mine, someone who's sitting down",
49,13,test,13,G1,parent,,parent
76,13,test,23,G1,parent,in my blue box is a person sitting down,
77,13,test,23,G1,child,,child
108,13,test,37,G1,child,someone sitting down,
109,13,test,37,G1,parent,,parent
35,13,test,7,H1,parent,in my blue box. it looks like a person is reading a book,
36,13,test,7,H1,child,,child
68,13,test,19,H1,child,in my blue box it looks like there's a guy with a hat on his head who's standing with his arms out like a zzz,
69,13,test,19,H1,parent,,parent
84,13,test,27,H1,parent,"in my blue box is a person who's sitting down. the person with a diamond head who is sitting down, reading. not laying down, but sitting.",
85,13,test,27,H1,child,,child
102,13,test,35,H1,child,in my blue box is someone zzz,
103,13,test,35,H1,parent,are they sitting down or zzz?,
104,13,test,35,H1,child,sitting down,
105,13,test,35,H1,parent,,parent
37,13,test,8,I1,child,"in my blue box, it looks like a person who is bending over and reading a book",
38,13,test,8,I1,parent,,parent
46,13,test,12,I1,parent,in my blue box it looks like a person is standing up but kind of bending over,
47,13,test,12,I1,child,,child
86,13,test,28,I1,child,in my blue box it's someone like bending over reading a book,
87,13,test,28,I1,parent,,parent
114,13,test,40,I1,parent,"in my blue box somebody is standing up, bent over, with something in their hand.",
115,13,test,40,I1,child,,child
22,13,test,1,K1,parent,in my blue box it looks like a person is kind of bent over,
24,13,test,1,K1,child,,child
52,13,test,15,K1,child,in my blue box it looks like a person who's bending over. that's it,
54,13,test,15,K1,child,in my blue box it looks like someone who's bending over like this.,
55,13,test,15,K1,parent,do they have anything in their hands?,
56,13,test,15,K1,child,no,
57,13,test,15,K1,parent,,parent
72,13,test,21,K1,parent,it looks like a person standing up but they're bent over a little bit,
73,13,test,21,K1,child,,child
98,13,test,33,K1,child,in my blue box it's someone bending over reading a book,
99,13,test,33,K1,parent,,parent
1,13,test,,,child,no,
2,13,test,,,parent,"ok, that's what you should do",
4,13,test,,,parent,good job!,
7,13,test,,,parent,Yes,
11,13,test,,,parent,"ok, well if that's what you think it is, press it",
13,13,test,,,child,yay!,
15,13,test,,,parent,yes,
23,13,test,,,child,"oh, I have that",
43,13,test,,,parent,did something else appear on your screen? do you have a blue box?,
53,13,test,,,parent,can you be more descriptive?,
58,13,test,,,child,oh wait I think you pressed the wrong one,
59,13,test,,,parent,"it's ok, we're just trying. we're just trying to use our words",
93,13,test,,,parent,can you give more description?,
