Timeline.ordinal,subid,type,trial,target,person,utterance,selection
0,16,practice,1,apple,parent,Apple,
1,16,practice,1,apple,child,,child
13,16,practice,4,apple,child,Apple,
14,16,practice,4,apple,parent,Apple,
15,16,practice,4,apple,child,Yeah,
16,16,practice,4,apple,parent,,parent
3,16,practice,2,artichoke,child,I don't know what that is,
5,16,practice,2,artichoke,child,Kinda looks like pineapple,
6,16,practice,2,artichoke,parent,Kinda like a pineapple,
7,16,practice,2,artichoke,parent,,parent
8,16,practice,2,artichoke,parent,It's an artichoke,
10,16,practice,2,artichoke,parent,"By the way or a or a brussel sprout maybe no, artichoke",
17,16,practice,5,artichoke,child,Um artichoke,
18,16,practice,5,artichoke,child,,child
11,16,practice,3,onion,parent,Um onion,
12,16,practice,3,onion,child,,child
19,16,practice,6,onion,child,Onion,
20,16,practice,6,onion,parent,,parent
62,16,test,6,A1,child,It looks like a person dancing,
63,16,test,6,A1,parent,Oh,
64,16,test,6,A1,parent,,parent
65,16,test,6,A1,child,With a diamond on its head,
120,16,test,20,A1,parent,This looks like a person running with a diamond head,
121,16,test,20,A1,child,,child
129,16,test,20,A1,child,With a bunch of triangles,
126,16,test,22,A1,child,This looks like somebody running with a diamond head,
128,16,test,22,A1,parent,,parent
168,16,test,34,A1,parent,This is somebody with a diamond head running,
169,16,test,34,A1,child,,child
75,16,test,9,B1,parent,This looks like somebody,
76,16,test,9,B1,parent,Looking at the ground and walking,
77,16,test,9,B1,child,,child
86,16,test,11,B1,child,It looks like someone looking at the ground,
87,16,test,11,B1,child,And walking,
88,16,test,11,B1,parent,,parent
150,16,test,29,B1,parent,This one looks like a person with a square head looking at the ground standing,
151,16,test,29,B1,child,,child
192,16,test,39,B1,child,This,
193,16,test,39,B1,child,This is the one guy looking at the ground sadly,
194,16,test,39,B1,parent,,parent
78,16,test,10,C1,child,The the zzz the zzz was like a square on that for example feet walking,
80,16,test,10,C1,child,Um it's legs and feet that's walking and the square,
81,16,test,10,C1,parent,Is it this isn't look like somebody kneeling on the ground like they're crawling on the ground or like they're jumping in the air,
82,16,test,10,C1,child,Um it's like this earthquake it's legs and a feet,
83,16,test,10,C1,parent,OK,
84,16,test,10,C1,parent,,parent
105,16,test,16,C1,parent,This looks like somebody crawling around on the ground,
106,16,test,16,C1,child,That look no with no a no more pause of a body,
107,16,test,16,C1,parent,Right,
108,16,test,16,C1,child,,child
146,16,test,28,C1,child,This looks like somebody with their feet and legs and zzz square,
147,16,test,28,C1,parent,Are they on the ground,
148,16,test,28,C1,child,Yeah,
149,16,test,28,C1,parent,,parent
172,16,test,36,C1,parent,This looks like a person crawling on the ground,
173,16,test,36,C1,child,Um I don't know that,
174,16,test,36,C1,parent,You don't have a person crawling on the ground,
175,16,test,36,C1,child,No,
176,16,test,36,C1,parent,Does he have a square head,
177,16,test,36,C1,child,No,
178,16,test,36,C1,parent,Mmm,
179,16,test,36,C1,parent,What do you have,
180,16,test,36,C1,child,I have somebody like with feet on legs and with a square and a diamond head,
181,16,test,36,C1,parent,OK so you have somebody with a diamond head and then somebody with feet,
182,16,test,36,C1,child,And legs with a square,
183,16,test,36,C1,parent,OK um the the one that looks like it's just uh legs and feet and a square that one,
185,16,test,36,C1,child,,child
34,16,test,2,D1,child,It looks like,
35,16,test,2,D1,child,That,
36,16,test,2,D1,parent,I can't see your pictures can you tell me what it looks like,
37,16,test,2,D1,child,Um it looks like there's a triangle top square top,
38,16,test,2,D1,parent,A triangle top and a square top,
39,16,test,2,D1,child,No I mean square top not a triangle one,
40,16,test,2,D1,parent,Are they together,
41,16,test,2,D1,child,Yeah,
42,16,test,2,D1,parent,,parent
95,16,test,14,D1,parent,This looks like an airplane with a square on top,
96,16,test,14,D1,child,,child
152,16,test,30,D1,child,This looks like somebody crawling on the ground,
153,16,test,30,D1,parent,Crawling on the ground,
154,16,test,30,D1,child,Yeah,
155,16,test,30,D1,parent,,parent
160,16,test,32,D1,parent,This looks like uh an airplane with a square on top,
161,16,test,32,D1,child,,child
27,16,test,1,E1,parent,It looks like a person jumping,
28,16,test,1,E1,child,Uh which one that is,
30,16,test,1,E1,parent,Um it's got a diamond head and triangle,
31,16,test,1,E1,child,,child
32,16,test,1,E1,parent,Feet,
97,16,test,15,E1,child,This looks like somebody like,
98,16,test,15,E1,child,Like this,
99,16,test,15,E1,parent,Do they have uh,
100,16,test,15,E1,child,Triangle arms triangle feet,
101,16,test,15,E1,parent,Triangle arms triangle feet,
102,16,test,15,E1,child,And a diamond head,
103,16,test,15,E1,parent,A diamond head,
104,16,test,15,E1,parent,,parent
143,16,test,27,E1,parent,This is,
144,16,test,27,E1,parent,Somebody with a diamond head who looks like they're jumping in the air,
145,16,test,27,E1,child,,child
158,16,test,31,E1,child,This looks like somebody jumped like jumping in the air,
159,16,test,31,E1,parent,,parent
56,16,test,5,F1,parent,It's the one from last time,
57,16,test,5,F1,child,This one,
58,16,test,5,F1,parent,Is that the one from last time,
59,16,test,5,F1,child,Yeah,
60,16,test,5,F1,parent,OK,
61,16,test,5,F1,child,,child
91,16,test,13,F1,child,This looks like somebody holding his arm in the air,
92,16,test,13,F1,parent,Holding his arm in the air,
93,16,test,13,F1,child,Yeah,
94,16,test,13,F1,parent,,parent
122,16,test,21,F1,parent,This looks like somebody,
123,16,test,21,F1,parent,Who has triangle feet and a square head and holding their arms in the air,
124,16,test,21,F1,child,,child
