,subid,target,rep_num,person,age,word,tfidf,final_match
0,4,A1,1,child,6,away,2.321928024291992,False
1,4,A1,1,child,6,like,0.0,False
2,4,A1,1,child,6,look,0.0,False
3,4,A1,1,child,6,walk,2.321928024291992,True
4,4,A1,1,child,6,zzz,3.321928024291992,False
5,4,A1,1,child,6,hand,0.0,False
6,4,A1,1,child,6,person,0.0,True
7,4,A1,1,child,6,pocket,0.0,False
8,4,A1,1,child,6,bend,0.0,False
9,4,A1,1,child,6,bendi,0.0,False
10,4,A1,1,child,6,guy,0.0,False
11,4,A1,1,child,6,kinda,0.0,False
12,4,A1,1,child,6,swim,0.0,False
13,4,A1,1,child,6,joy,0.0,False
14,4,A1,1,child,6,jump,0.0,False
15,4,A1,1,child,6,apart,0.0,False
16,4,A1,1,child,6,foot,0.0,False
17,4,A1,1,child,6,make,0.0,False
18,4,A1,1,child,6,raise,0.0,False
19,4,A1,1,child,6,shape,0.0,False
20,4,A1,1,child,6,triangle,0.0,False
21,4,A1,1,child,6,ground,0.0,False
22,4,A1,1,child,6,kneel,0.0,False
23,4,A1,1,child,6,maybe,0.0,False
24,4,A1,1,child,6,hungry,0.0,False
25,4,A1,1,child,6,carry,0.0,False
26,4,A1,1,child,6,say,0.0,False
27,4,A1,1,child,6,tray,0.0,False
28,4,A1,1,child,6,go,0.0,False
29,4,A1,1,child,6,hat,0.0,False
30,4,A1,1,child,6,little,0.0,False
31,4,A1,1,child,6,ok,0.0,False
32,4,A1,1,child,6,remember,0.0,False
33,4,A1,1,child,6,tangram,0.0,False
34,4,B1,1,child,6,away,2.321928024291992,False
35,4,B1,1,child,6,like,0.0,False
36,4,B1,1,child,6,look,0.0,True
37,4,B1,1,child,6,walk,2.321928024291992,False
38,4,B1,1,child,6,zzz,0.0,True
39,4,B1,1,child,6,hand,2.321928024291992,False
40,4,B1,1,child,6,person,1.3219281435012817,True
41,4,B1,1,child,6,pocket,3.321928024291992,False
42,4,B1,1,child,6,bend,0.0,False
43,4,B1,1,child,6,bendi,0.0,False
44,4,B1,1,child,6,guy,0.0,False
45,4,B1,1,child,6,kinda,0.0,False
46,4,B1,1,child,6,swim,0.0,False
47,4,B1,1,child,6,joy,0.0,False
48,4,B1,1,child,6,jump,0.0,False
49,4,B1,1,child,6,apart,0.0,False
50,4,B1,1,child,6,foot,0.0,False
51,4,B1,1,child,6,make,0.0,False
52,4,B1,1,child,6,raise,0.0,False
53,4,B1,1,child,6,shape,0.0,False
54,4,B1,1,child,6,triangle,0.0,False
55,4,B1,1,child,6,ground,0.0,False
56,4,B1,1,child,6,kneel,0.0,False
57,4,B1,1,child,6,maybe,0.0,False
58,4,B1,1,child,6,hungry,0.0,False
59,4,B1,1,child,6,carry,0.0,False
60,4,B1,1,child,6,say,0.0,False
61,4,B1,1,child,6,tray,0.0,False
62,4,B1,1,child,6,go,0.0,False
63,4,B1,1,child,6,hat,0.0,False
64,4,B1,1,child,6,little,0.0,False
65,4,B1,1,child,6,ok,0.0,False
66,4,B1,1,child,6,remember,0.0,False
67,4,B1,1,child,6,tangram,0.0,False
68,4,C1,1,child,6,away,0.0,False
69,4,C1,1,child,6,like,0.0,False
70,4,C1,1,child,6,look,0.0,False
71,4,C1,1,child,6,walk,0.0,False
72,4,C1,1,child,6,zzz,0.0,False
73,4,C1,1,child,6,hand,0.0,False
74,4,C1,1,child,6,person,0.0,True
75,4,C1,1,child,6,pocket,0.0,False
76,4,C1,1,child,6,bend,3.321928024291992,False
77,4,C1,1,child,6,bendi,3.321928024291992,False
78,4,C1,1,child,6,guy,1.736965537071228,False
79,4,C1,1,child,6,kinda,3.321928024291992,False
80,4,C1,1,child,6,swim,0.0,False
81,4,C1,1,child,6,joy,0.0,False
82,4,C1,1,child,6,jump,0.0,False
83,4,C1,1,child,6,apart,0.0,False
84,4,C1,1,child,6,foot,0.0,False
85,4,C1,1,child,6,make,0.0,False
86,4,C1,1,child,6,raise,0.0,False
87,4,C1,1,child,6,shape,0.0,False
88,4,C1,1,child,6,triangle,0.0,False
89,4,C1,1,child,6,ground,0.0,False
90,4,C1,1,child,6,kneel,0.0,False
91,4,C1,1,child,6,maybe,0.0,False
92,4,C1,1,child,6,hungry,0.0,False
